Entity,Code,Day,Daily new confirmed cases of COVID-19,Daily new confirmed deaths due to COVID-19
Lesotho,LSO,12/20/2020,0,0
Liberia,LBR,12/20/2020,0,0
Libya,LBY,12/20/2020,788,7
Liechtenstein,LIE,12/20/2020,47,0
Lithuania,LTU,12/20/2020,2923,28
Low income,,12/20/2020,2048,58
Lower middle income,,12/20/2020,49928,844
Luxembourg,LUX,12/20/2020,0,0
Madagascar,MDG,12/20/2020,46,1
Malawi,MWI,12/20/2020,8,0
Malaysia,MYS,12/20/2020,1340,4
Maldives,MDV,12/20/2020,19,0
Mali,MLI,12/20/2020,27,2
Malta,MLT,12/20/2020,93,3
Marshall Islands,MHL,12/20/2020,0,
Mauritania,MRT,12/20/2020,140,8
Mauritius,MUS,12/20/2020,0,0
Mexico,MEX,12/20/2020,6870,326
Moldova,MDA,12/20/2020,629,25
Monaco,MCO,12/20/2020,5,0
Mongolia,MNG,12/20/2020,32,
Montenegro,MNE,12/20/2020,246,2
Morocco,MAR,12/20/2020,1899,48
Mozambique,MOZ,12/20/2020,91,1
Myanmar,MMR,12/20/2020,947,19
Namibia,NAM,12/20/2020,277,6
Nepal,NPL,12/20/2020,588,11
Netherlands,NLD,12/20/2020,13072,32
New Zealand,NZL,12/20/2020,5,0
Nicaragua,NIC,12/20/2020,0,0
Niger,NER,12/20/2020,47,1
Nigeria,NGA,12/20/2020,501,3
North America,,12/20/2020,206507,2226
North Macedonia,MKD,12/20/2020,356,18
Norway,NOR,12/20/2020,323,0
Oceania,,12/20/2020,35,0
Oman,OMN,12/20/2020,648,5
Pakistan,PAK,12/20/2020,1680,62
Palestine,PSE,12/20/2020,1427,24
Panama,PAN,12/20/2020,2755,39
Papua New Guinea,PNG,12/20/2020,0,0
Paraguay,PRY,12/20/2020,632,16
Peru,PER,12/20/2020,6442,176
Philippines,PHL,12/20/2020,1745,36
Poland,POL,12/20/2020,8590,143
Portugal,PRT,12/20/2020,3334,71
Qatar,QAT,12/20/2020,143,0
Romania,ROU,12/20/2020,3350,98
Russia,RUS,12/20/2020,28510,498
Rwanda,RWA,12/20/2020,61,4
Saint Kitts and Nevis,KNA,12/20/2020,0,
Saint Lucia,LCA,12/20/2020,5,0
Saint Vincent and the Grenadines,VCT,12/20/2020,4,
Samoa,WSM,12/20/2020,0,
San Marino,SMR,12/20/2020,0,0
Sao Tome and Principe,STP,12/20/2020,0,0
Saudi Arabia,SAU,12/20/2020,162,10
Senegal,SEN,12/20/2020,88,4
Serbia,SRB,12/20/2020,3534,54
Seychelles,SYC,12/20/2020,0,
Sierra Leone,SLE,12/20/2020,12,0
Singapore,SGP,12/20/2020,19,0
Slovakia,SVK,12/20/2020,2061,45
Slovenia,SVN,12/20/2020,886,39
Solomon Islands,SLB,12/20/2020,0,
Somalia,SOM,12/20/2020,0,0
South Africa,ZAF,12/20/2020,9445,152
South America,,12/20/2020,51422,920
South Korea,KOR,12/20/2020,926,24
South Sudan,SSD,12/20/2020,0,0
Spain,ESP,12/20/2020,0,0
Sri Lanka,LKA,12/20/2020,594,5
Sudan,SDN,12/20/2020,110,9
Suriname,SUR,12/20/2020,41,0
Sweden,SWE,12/20/2020,0,0
Switzerland,CHE,12/20/2020,0,20
Syria,SYR,12/20/2020,145,9
Taiwan,TWN,12/20/2020,3,0
Tajikistan,TJK,12/20/2020,37,0
Tanzania,TZA,12/20/2020,0,0
Thailand,THA,12/20/2020,382,0
Timor,TLS,12/20/2020,0,
Togo,TGO,12/20/2020,20,0
Trinidad and Tobago,TTO,12/20/2020,26,0
Tunisia,TUN,12/20/2020,1536,32
Turkey,TUR,12/20/2020,20316,246
Uganda,UGA,12/20/2020,485,1
Ukraine,UKR,12/20/2020,8763,129
United Arab Emirates,ARE,12/20/2020,1171,3
United Kingdom,GBR,12/20/2020,36084,326
United States,USA,12/20/2020,188015,1724
Upper middle income,,12/20/2020,149121,2835
Uruguay,URY,12/20/2020,491,5
Uzbekistan,UZB,12/20/2020,127,0
Vanuatu,VUT,12/20/2020,0,
Vatican,VAT,12/20/2020,0,
Venezuela,VEN,12/20/2020,294,4
Vietnam,VNM,12/20/2020,2,0
World,OWID_WRL,12/20/2020,533669,7924
World excl. China,,12/20/2020,533646,7924
World excl. China and South Korea,,12/20/2020,532720,7900
"World excl. China, South Korea, Japan and Singapore",,12/20/2020,530246,7865
Yemen,YEM,12/20/2020,0,0
Zambia,ZMB,12/20/2020,96,0
Zimbabwe,ZWE,12/20/2020,174,2
Afghanistan,AFG,12/21/2020,196,15
Africa,,12/21/2020,16781,429
Albania,ALB,12/21/2020,422,10
Algeria,DZA,12/21/2020,456,9
Andorra,AND,12/21/2020,25,0
Angola,AGO,12/21/2020,42,3
Antigua and Barbuda,ATG,12/21/2020,0,0
Argentina,ARG,12/21/2020,5853,184
Armenia,ARM,12/21/2020,240,26
Asia,,12/21/2020,79508,1445
Asia excl. China,,12/21/2020,79493,1445
Australia,AUS,12/21/2020,21,0
Austria,AUT,12/21/2020,1519,84
Azerbaijan,AZE,12/21/2020,1505,43
Bahamas,BHS,12/21/2020,19,0
Bahrain,BHR,12/21/2020,168,1
Bangladesh,BGD,12/21/2020,1470,32
Barbados,BRB,12/21/2020,14,0
Belarus,BLR,12/21/2020,1893,9
Belgium,BEL,12/21/2020,981,71
Belize,BLZ,12/21/2020,354,11
Benin,BEN,12/21/2020,0,0
Bhutan,BTN,12/21/2020,33,
Bolivia,BOL,12/21/2020,362,7
Bosnia and Herzegovina,BIH,12/21/2020,698,81
Botswana,BWA,12/21/2020,608,0
Brazil,BRA,12/21/2020,25019,527
Brunei,BRN,12/21/2020,0,0
Bulgaria,BGR,12/21/2020,1277,156
Burkina Faso,BFA,12/21/2020,141,0
Burundi,BDI,12/21/2020,1,0
Cambodia,KHM,12/21/2020,0,
Cameroon,CMR,12/21/2020,0,0
Canada,CAN,12/21/2020,7577,107
Cape Verde,CPV,12/21/2020,21,0
Central African Republic,CAF,12/21/2020,0,0
Chad,TCD,12/21/2020,12,0
Chile,CHL,12/21/2020,2447,43
China,CHN,12/21/2020,15,0
Colombia,COL,12/21/2020,10845,205
Comoros,COM,12/21/2020,0,0
Congo,COG,12/21/2020,0,0
Costa Rica,CRI,12/21/2020,2421,41
Cote d'Ivoire,CIV,12/21/2020,14,0
Croatia,HRV,12/21/2020,766,80
Cuba,CUB,12/21/2020,115,0
Cyprus,CYP,12/21/2020,316,5
Czechia,CZE,12/21/2020,3383,80
Democratic Republic of Congo,COD,12/21/2020,174,0
Denmark,DNK,12/21/2020,3205,18
Djibouti,DJI,12/21/2020,2,0
Dominica,DMA,12/21/2020,0,
Dominican Republic,DOM,12/21/2020,666,1
Ecuador,ECU,12/21/2020,72,1
Egypt,EGY,12/21/2020,718,32
El Salvador,SLV,12/21/2020,295,7
Equatorial Guinea,GNQ,12/21/2020,17,0
Eritrea,ERI,12/21/2020,53,
Estonia,EST,12/21/2020,289,7
Eswatini,SWZ,12/21/2020,135,1
Ethiopia,ETH,12/21/2020,397,8
Europe,,12/21/2020,187077,4161
European Union,,12/21/2020,99002,3007
Fiji,FJI,12/21/2020,0,0
Finland,FIN,12/21/2020,252,17
France,FRA,12/21/2020,5960,354
Gabon,GAB,12/21/2020,20,0
Gambia,GMB,12/21/2020,0,0
Georgia,GEO,12/21/2020,824,46
Germany,DEU,12/21/2020,19256,710
Ghana,GHA,12/21/2020,301,2
Greece,GRC,12/21/2020,525,85
Grenada,GRD,12/21/2020,0,
Guatemala,GTM,12/21/2020,102,32
Guinea,GIN,12/21/2020,33,0
Guinea-Bissau,GNB,12/21/2020,0,0
Guyana,GUY,12/21/2020,46,0
Haiti,HTI,12/21/2020,0,0
High income,,12/21/2020,361038,5434
Honduras,HND,12/21/2020,168,7
Hong Kong,HKG,12/21/2020,85,1
Hungary,HUN,12/21/2020,2141,183
Iceland,ISL,12/21/2020,14,0
India,IND,12/21/2020,19556,301
Indonesia,IDN,12/21/2020,6848,205
International,,12/21/2020,0,0
Iran,IRN,12/21/2020,6151,191
Iraq,IRQ,12/21/2020,1200,13
Ireland,IRL,12/21/2020,725,0
Israel,ISR,12/21/2020,3499,12
Italy,ITA,12/21/2020,10869,415
Jamaica,JAM,12/21/2020,65,0
Japan,JPN,12/21/2020,1804,49
Jordan,JOR,12/21/2020,2499,36
Kazakhstan,KAZ,12/21/2020,929,4
Kenya,KEN,12/21/2020,114,5
Kosovo,OWID_KOS,12/21/2020,264,6
Kuwait,KWT,12/21/2020,230,1
Kyrgyzstan,KGZ,12/21/2020,0,0
Laos,LAO,12/21/2020,0,
Latvia,LVA,12/21/2020,395,4
Lebanon,LBN,12/21/2020,1182,13
Lesotho,LSO,12/21/2020,0,0
Liberia,LBR,12/21/2020,0,0
Libya,LBY,12/21/2020,640,16
Liechtenstein,LIE,12/21/2020,26,2
Lithuania,LTU,12/21/2020,2135,46
Low income,,12/21/2020,1990,63
Lower middle income,,12/21/2020,40863,783
Luxembourg,LUX,12/21/2020,854,16
Madagascar,MDG,12/21/2020,0,0
Malawi,MWI,12/21/2020,41,0
Malaysia,MYS,12/21/2020,2018,1
Maldives,MDV,12/21/2020,8,0
Mali,MLI,12/21/2020,41,3
Malta,MLT,12/21/2020,88,4
Marshall Islands,MHL,12/21/2020,0,
Mauritania,MRT,12/21/2020,149,5
Mauritius,MUS,12/21/2020,0,0
Mexico,MEX,12/21/2020,5370,396
Moldova,MDA,12/21/2020,703,25
Monaco,MCO,12/21/2020,14,0
Mongolia,MNG,12/21/2020,13,
Montenegro,MNE,12/21/2020,329,4
Morocco,MAR,12/21/2020,877,43
Mozambique,MOZ,12/21/2020,127,1
Myanmar,MMR,12/21/2020,848,22
Namibia,NAM,12/21/2020,585,3
Nepal,NPL,12/21/2020,742,7
Netherlands,NLD,12/21/2020,11218,28
New Zealand,NZL,12/21/2020,0,0
Nicaragua,NIC,12/21/2020,0,0
Niger,NER,12/21/2020,65,0
Nigeria,NGA,12/21/2020,356,6
North America,,12/21/2020,217580,2558
North Macedonia,MKD,12/21/2020,129,22
Norway,NOR,12/21/2020,431,1
Oceania,,12/21/2020,22,1
Oman,OMN,12/21/2020,264,1
Pakistan,PAK,12/21/2020,1704,82
Palestine,PSE,12/21/2020,1302,28
Panama,PAN,12/21/2020,1699,31
Papua New Guinea,PNG,12/21/2020,1,1
Paraguay,PRY,12/21/2020,823,15
Peru,PER,12/21/2020,1618,69
Philippines,PHL,12/21/2020,1716,10
Poland,POL,12/21/2020,4633,77
Portugal,PRT,12/21/2020,2099,57
Qatar,QAT,12/21/2020,158,0
Romania,ROU,12/21/2020,2489,87
Russia,RUS,12/21/2020,28917,481
Rwanda,RWA,12/21/2020,109,2
Saint Kitts and Nevis,KNA,12/21/2020,0,
Saint Lucia,LCA,12/21/2020,0,0
Saint Vincent and the Grenadines,VCT,12/21/2020,0,
Samoa,WSM,12/21/2020,0,
San Marino,SMR,12/21/2020,28,0
Sao Tome and Principe,STP,12/21/2020,0,0
Saudi Arabia,SAU,12/21/2020,168,9
Senegal,SEN,12/21/2020,121,6
Serbia,SRB,12/21/2020,3685,47
Seychelles,SYC,12/21/2020,3,
Sierra Leone,SLE,12/21/2020,0,0
Singapore,SGP,12/21/2020,10,0
Slovakia,SVK,12/21/2020,1219,63
Slovenia,SVN,12/21/2020,395,26
Solomon Islands,SLB,12/21/2020,0,
Somalia,SOM,12/21/2020,0,0
South Africa,ZAF,12/21/2020,8789,216
South America,,12/21/2020,47983,1056
South Korea,KOR,12/21/2020,869,24
South Sudan,SSD,12/21/2020,6,0
Spain,ESP,12/21/2020,22013,334
Sri Lanka,LKA,12/21/2020,370,5
Sudan,SDN,12/21/2020,216,16
Suriname,SUR,12/21/2020,31,0
Sweden,SWE,12/21/2020,0,0
Switzerland,CHE,12/21/2020,10002,159
Syria,SYR,12/21/2020,123,11
Taiwan,TWN,12/21/2020,0,0
Tajikistan,TJK,12/21/2020,38,0
Tanzania,TZA,12/21/2020,0,0
Thailand,THA,12/21/2020,427,0
Timor,TLS,12/21/2020,0,
Togo,TGO,12/21/2020,20,0
Trinidad and Tobago,TTO,12/21/2020,12,2
Tunisia,TUN,12/21/2020,1031,41
Turkey,TUR,12/21/2020,19103,254
Uganda,UGA,12/21/2020,197,7
Ukraine,UKR,12/21/2020,6978,92
United Arab Emirates,ARE,12/21/2020,1077,2
United Kingdom,GBR,12/21/2020,33517,215
United States,USA,12/21/2020,198703,1923
Upper middle income,,12/21/2020,145060,3370
Uruguay,URY,12/21/2020,429,0
Uzbekistan,UZB,12/21/2020,115,0
Vanuatu,VUT,12/21/2020,0,
Vatican,VAT,12/21/2020,0,
Venezuela,VEN,12/21/2020,438,5
Vietnam,VNM,12/21/2020,1,0
World,OWID_WRL,12/21/2020,548951,9650
World excl. China,,12/21/2020,548936,9650
World excl. China and South Korea,,12/21/2020,548067,9626
"World excl. China, South Korea, Japan and Singapore",,12/21/2020,546253,9577
Yemen,YEM,12/21/2020,0,0
Zambia,ZMB,12/21/2020,52,2
Zimbabwe,ZWE,12/21/2020,97,2
Afghanistan,AFG,12/22/2020,177,14
Africa,,12/22/2020,19986,529
Albania,ALB,12/22/2020,389,13
Algeria,DZA,12/22/2020,410,12
Andorra,AND,12/22/2020,31,1
Angola,AGO,12/22/2020,116,3
Antigua and Barbuda,ATG,12/22/2020,0,0
Argentina,ARG,12/22/2020,8141,257
Armenia,ARM,12/22/2020,537,17
Asia,,12/22/2020,89485,1494
Asia excl. China,,12/22/2020,89470,1494
Australia,AUS,12/22/2020,18,0
Austria,AUT,12/22/2020,1853,105
Azerbaijan,AZE,12/22/2020,2284,41
Bahamas,BHS,12/22/2020,7,5
Bahrain,BHR,12/22/2020,184,0
Bangladesh,BGD,12/22/2020,1318,17
Barbados,BRB,12/22/2020,6,0
Belarus,BLR,12/22/2020,1858,8
Belgium,BEL,12/22/2020,2198,124
Belize,BLZ,12/22/2020,112,2
Benin,BEN,12/22/2020,0,0
Bhutan,BTN,12/22/2020,0,
Bolivia,BOL,12/22/2020,674,9
Bosnia and Herzegovina,BIH,12/22/2020,764,86
Botswana,BWA,12/22/2020,0,0
Brazil,BRA,12/22/2020,55202,968
Brunei,BRN,12/22/2020,0,0
Bulgaria,BGR,12/22/2020,1799,114
Burkina Faso,BFA,12/22/2020,160,1
Burundi,BDI,12/22/2020,0,0
Cambodia,KHM,12/22/2020,0,
Cameroon,CMR,12/22/2020,0,0
Canada,CAN,12/22/2020,6260,126
Cape Verde,CPV,12/22/2020,36,1
Central African Republic,CAF,12/22/2020,0,0
Chad,TCD,12/22/2020,14,0
Chile,CHL,12/22/2020,1196,20
China,CHN,12/22/2020,15,0
Colombia,COL,12/22/2020,12526,251
Comoros,COM,12/22/2020,27,0
Congo,COG,12/22/2020,371,0
Costa Rica,CRI,12/22/2020,911,14
Cote d'Ivoire,CIV,12/22/2020,10,0
Croatia,HRV,12/22/2020,1595,71
Cuba,CUB,12/22/2020,142,2
Cyprus,CYP,12/22/2020,0,0
Czechia,CZE,12/22/2020,7891,151
Democratic Republic of Congo,COD,12/22/2020,141,0
Denmark,DNK,12/22/2020,2546,17
Djibouti,DJI,12/22/2020,3,0
Dominica,DMA,12/22/2020,0,
Dominican Republic,DOM,12/22/2020,878,13
Ecuador,ECU,12/22/2020,35,0
Egypt,EGY,12/22/2020,788,37
El Salvador,SLV,12/22/2020,286,8
Equatorial Guinea,GNQ,12/22/2020,0,0
Eritrea,ERI,12/22/2020,25,1
Estonia,EST,12/22/2020,564,6
Eswatini,SWZ,12/22/2020,153,1
Ethiopia,ETH,12/22/2020,290,3
Europe,,12/22/2020,236518,6147
European Union,,12/22/2020,148162,4302
Fiji,FJI,12/22/2020,0,0
Finland,FIN,12/22/2020,303,5
France,FRA,12/22/2020,11861,802
Gabon,GAB,12/22/2020,0,0
Gambia,GMB,12/22/2020,5,0
Georgia,GEO,12/22/2020,3064,42
Germany,DEU,12/22/2020,36153,986
Ghana,GHA,12/22/2020,0,0
Greece,GRC,12/22/2020,833,83
Grenada,GRD,12/22/2020,0,
Guatemala,GTM,12/22/2020,734,30
Guinea,GIN,12/22/2020,0,0
Guinea-Bissau,GNB,12/22/2020,0,1
Guyana,GUY,12/22/2020,45,1
Haiti,HTI,12/22/2020,97,0
High income,,12/22/2020,407929,8722
Honduras,HND,12/22/2020,398,12
Hong Kong,HKG,12/22/2020,63,1
Hungary,HUN,12/22/2020,1238,180
Iceland,ISL,12/22/2020,11,0
India,IND,12/22/2020,23950,333
Indonesia,IDN,12/22/2020,6347,172
International,,12/22/2020,0,0
Iran,IRN,12/22/2020,6208,187
Iraq,IRQ,12/22/2020,1158,15
Ireland,IRL,12/22/2020,961,13
Israel,ISR,12/22/2020,4228,25
Italy,ITA,12/22/2020,13316,628
Jamaica,JAM,12/22/2020,65,2
Japan,JPN,12/22/2020,2658,44
Jordan,JOR,12/22/2020,2444,23
Kazakhstan,KAZ,12/22/2020,924,51
Kenya,KEN,12/22/2020,154,3
Kosovo,OWID_KOS,12/22/2020,0,0
Kuwait,KWT,12/22/2020,298,1
Kyrgyzstan,KGZ,12/22/2020,175,4
Laos,LAO,12/22/2020,0,
Latvia,LVA,12/22/2020,1004,16
Lebanon,LBN,12/22/2020,1693,17
Lesotho,LSO,12/22/2020,0,0
Liberia,LBR,12/22/2020,0,0
Libya,LBY,12/22/2020,506,16
Liechtenstein,LIE,12/22/2020,42,1
Lithuania,LTU,12/22/2020,2039,56
Low income,,12/22/2020,2284,54
Lower middle income,,12/22/2020,51890,993
Luxembourg,LUX,12/22/2020,227,3
Madagascar,MDG,12/22/2020,0,0
Malawi,MWI,12/22/2020,46,0
Malaysia,MYS,12/22/2020,2062,1
Maldives,MDV,12/22/2020,23,0
Mali,MLI,12/22/2020,59,0
Malta,MLT,12/22/2020,108,2
Marshall Islands,MHL,12/22/2020,0,
Mauritania,MRT,12/22/2020,178,4
Mauritius,MUS,12/22/2020,2,0
Mexico,MEX,12/22/2020,12511,897
Moldova,MDA,12/22/2020,1021,26
Monaco,MCO,12/22/2020,14,0
Mongolia,MNG,12/22/2020,57,
Montenegro,MNE,12/22/2020,258,7
Morocco,MAR,12/22/2020,2646,30
Mozambique,MOZ,12/22/2020,72,1
Myanmar,MMR,12/22/2020,964,19
Namibia,NAM,12/22/2020,330,1
Nepal,NPL,12/22/2020,722,3
Netherlands,NLD,12/22/2020,9889,114
New Zealand,NZL,12/22/2020,7,0
Nicaragua,NIC,12/22/2020,0,0
Niger,NER,12/22/2020,79,2
Nigeria,NGA,12/22/2020,999,4
North America,,12/22/2020,223709,4556
North Macedonia,MKD,12/22/2020,756,26
Norway,NOR,12/22/2020,596,0
Oceania,,12/22/2020,25,0
Oman,OMN,12/22/2020,212,1
Pakistan,PAK,12/22/2020,2142,83
Palestine,PSE,12/22/2020,1561,29
Panama,PAN,12/22/2020,3164,35
Papua New Guinea,PNG,12/22/2020,0,0
Paraguay,PRY,12/22/2020,932,17
Peru,PER,12/22/2020,958,70
Philippines,PHL,12/22/2020,1310,64
Poland,POL,12/22/2020,7192,309
Portugal,PRT,12/22/2020,2436,63
Qatar,QAT,12/22/2020,149,0
Romania,ROU,12/22/2020,5009,155
Russia,RUS,12/22/2020,28340,551
Rwanda,RWA,12/22/2020,109,1
Saint Kitts and Nevis,KNA,12/22/2020,0,
Saint Lucia,LCA,12/22/2020,16,0
Saint Vincent and the Grenadines,VCT,12/22/2020,3,
Samoa,WSM,12/22/2020,0,
San Marino,SMR,12/22/2020,41,1
Sao Tome and Principe,STP,12/22/2020,0,0
Saudi Arabia,SAU,12/22/2020,181,8
Senegal,SEN,12/22/2020,66,1
Serbia,SRB,12/22/2020,4080,49
Seychelles,SYC,12/22/2020,0,
Sierra Leone,SLE,12/22/2020,9,0
Singapore,SGP,12/22/2020,29,0
Slovakia,SVK,12/22/2020,2663,0
Slovenia,SVN,12/22/2020,1511,39
Solomon Islands,SLB,12/22/2020,0,
Somalia,SOM,12/22/2020,28,3
South Africa,ZAF,12/22/2020,9501,339
South America,,12/22/2020,80634,1598
South Korea,KOR,12/22/2020,1090,17
South Sudan,SSD,12/22/2020,0,0
Spain,ESP,12/22/2020,10654,260
Sri Lanka,LKA,12/22/2020,428,2
Sudan,SDN,12/22/2020,256,18
Suriname,SUR,12/22/2020,86,0
Sweden,SWE,12/22/2020,22319,0
Switzerland,CHE,12/22/2020,4275,143
Syria,SYR,12/22/2020,124,9
Taiwan,TWN,12/22/2020,4,0
Tajikistan,TJK,12/22/2020,36,0
Tanzania,TZA,12/22/2020,0,0
Thailand,THA,12/22/2020,46,0
Timor,TLS,12/22/2020,0,
Togo,TGO,12/22/2020,31,0
Trinidad and Tobago,TTO,12/22/2020,12,0
Tunisia,TUN,12/22/2020,1605,38
Turkey,TUR,12/22/2020,19256,251
Uganda,UGA,12/22/2020,526,0
Ukraine,UKR,12/22/2020,8949,242
United Arab Emirates,ARE,12/22/2020,1226,3
United Kingdom,GBR,12/22/2020,36931,691
United States,USA,12/22/2020,198107,3410
Upper middle income,,12/22/2020,188254,4555
Uruguay,URY,12/22/2020,524,1
Uzbekistan,UZB,12/22/2020,132,0
Vanuatu,VUT,12/22/2020,0,
Vatican,VAT,12/22/2020,0,
Venezuela,VEN,12/22/2020,315,4
Vietnam,VNM,12/22/2020,6,0
World,OWID_WRL,12/22/2020,650357,14324
World excl. China,,12/22/2020,650342,14324
World excl. China and South Korea,,12/22/2020,649252,14307
"World excl. China, South Korea, Japan and Singapore",,12/22/2020,646565,14263
Yemen,YEM,12/22/2020,0,0
Zambia,ZMB,12/22/2020,113,4
Zimbabwe,ZWE,12/22/2020,122,4
Afghanistan,AFG,12/23/2020,243,21
Africa,,12/23/2020,25729,820
Albania,ALB,12/23/2020,503,6
Algeria,DZA,12/23/2020,480,9
Andorra,AND,12/23/2020,36,0
Angola,AGO,12/23/2020,129,0
Antigua and Barbuda,ATG,12/23/2020,1,0
Argentina,ARG,12/23/2020,8586,60
Armenia,ARM,12/23/2020,838,18
Asia,,12/23/2020,90092,1423
Asia excl. China,,12/23/2020,90075,1423
Australia,AUS,12/23/2020,25,0
Austria,AUT,12/23/2020,2131,114
Azerbaijan,AZE,12/23/2020,2334,46
Bahamas,BHS,12/23/2020,16,0
Bahrain,BHR,12/23/2020,183,0
Bangladesh,BGD,12/23/2020,1367,30
Barbados,BRB,12/23/2020,2,0
Belarus,BLR,12/23/2020,1922,8
Belgium,BEL,12/23/2020,3212,118
Belize,BLZ,12/23/2020,113,0
Benin,BEN,12/23/2020,38,0
Bhutan,BTN,12/23/2020,40,
Bolivia,BOL,12/23/2020,1005,13
Bosnia and Herzegovina,BIH,12/23/2020,584,46
Botswana,BWA,12/23/2020,0,0
Brazil,BRA,12/23/2020,46696,961
Brunei,BRN,12/23/2020,0,0
Bulgaria,BGR,12/23/2020,1615,99
Burkina Faso,BFA,12/23/2020,188,0
Burundi,BDI,12/23/2020,11,0
Cambodia,KHM,12/23/2020,0,
Cameroon,CMR,12/23/2020,0,0
Canada,CAN,12/23/2020,6921,145
Cape Verde,CPV,12/23/2020,32,0
Central African Republic,CAF,12/23/2020,12,0
Chad,TCD,12/23/2020,22,0
Chile,CHL,12/23/2020,1725,11
China,CHN,12/23/2020,17,0
Colombia,COL,12/23/2020,14233,243
Comoros,COM,12/23/2020,0,0
Congo,COG,12/23/2020,0,0
Costa Rica,CRI,12/23/2020,1138,14
Cote d'Ivoire,CIV,12/23/2020,42,0
Croatia,HRV,12/23/2020,2763,66
Cuba,CUB,12/23/2020,116,0
Cyprus,CYP,12/23/2020,879,8
Czechia,CZE,12/23/2020,10898,102
Democratic Republic of Congo,COD,12/23/2020,229,196
Denmark,DNK,12/23/2020,3303,26
Djibouti,DJI,12/23/2020,3,0
Dominica,DMA,12/23/2020,0,
Dominican Republic,DOM,12/23/2020,566,3
Ecuador,ECU,12/23/2020,720,13
Egypt,EGY,12/23/2020,911,42
El Salvador,SLV,12/23/2020,270,9
Equatorial Guinea,GNQ,12/23/2020,5,0
Eritrea,ERI,12/23/2020,45,0
Estonia,EST,12/23/2020,662,5
Eswatini,SWZ,12/23/2020,153,11
Ethiopia,ETH,12/23/2020,351,6
Europe,,12/23/2020,248010,5708
European Union,,12/23/2020,155424,3852
Fiji,FJI,12/23/2020,0,0
Finland,FIN,12/23/2020,367,13
France,FRA,12/23/2020,15038,277
Gabon,GAB,12/23/2020,49,0
Gambia,GMB,12/23/2020,0,0
Georgia,GEO,12/23/2020,2345,51
Germany,DEU,12/23/2020,33758,813
Ghana,GHA,12/23/2020,89,0
Greece,GRC,12/23/2020,935,62
Grenada,GRD,12/23/2020,2,
Guatemala,GTM,12/23/2020,655,21
Guinea,GIN,12/23/2020,20,0
Guinea-Bissau,GNB,12/23/2020,0,0
Guyana,GUY,12/23/2020,42,2
Haiti,HTI,12/23/2020,34,1
High income,,12/23/2020,449984,8365
Honduras,HND,12/23/2020,448,8
Hong Kong,HKG,12/23/2020,53,1
Hungary,HUN,12/23/2020,1894,154
Iceland,ISL,12/23/2020,16,0
India,IND,12/23/2020,24712,312
Indonesia,IDN,12/23/2020,7514,151
International,,12/23/2020,0,0
Iran,IRN,12/23/2020,6261,153
Iraq,IRQ,12/23/2020,1173,12
Ireland,IRL,12/23/2020,927,13
Israel,ISR,12/23/2020,2535,14
Italy,ITA,12/23/2020,13908,553
Jamaica,JAM,12/23/2020,69,2
Japan,JPN,12/23/2020,3275,64
Jordan,JOR,12/23/2020,2091,25
Kazakhstan,KAZ,12/23/2020,754,0
Kenya,KEN,12/23/2020,427,1
Kosovo,OWID_KOS,12/23/2020,271,12
Kuwait,KWT,12/23/2020,266,1
Kyrgyzstan,KGZ,12/23/2020,230,2
Laos,LAO,12/23/2020,0,
Latvia,LVA,12/23/2020,1145,20
Lebanon,LBN,12/23/2020,2246,22
Lesotho,LSO,12/23/2020,179,3
Liberia,LBR,12/23/2020,0,0
Libya,LBY,12/23/2020,640,8
Liechtenstein,LIE,12/23/2020,32,2
Lithuania,LTU,12/23/2020,3804,35
Low income,,12/23/2020,2567,249
Lower middle income,,12/23/2020,56193,1063
Luxembourg,LUX,12/23/2020,400,5
Madagascar,MDG,12/23/2020,0,0
Malawi,MWI,12/23/2020,13,0
Malaysia,MYS,12/23/2020,1348,5
Maldives,MDV,12/23/2020,13,0
Mali,MLI,12/23/2020,56,4
Malta,MLT,12/23/2020,82,5
Marshall Islands,MHL,12/23/2020,0,
Mauritania,MRT,12/23/2020,199,7
Mauritius,MUS,12/23/2020,1,0
Mexico,MEX,12/23/2020,11653,816
Moldova,MDA,12/23/2020,1282,22
Monaco,MCO,12/23/2020,11,0
Mongolia,MNG,12/23/2020,6,
Montenegro,MNE,12/23/2020,520,2
Morocco,MAR,12/23/2020,2566,56
Mozambique,MOZ,12/23/2020,0,0
Myanmar,MMR,12/23/2020,923,23
Namibia,NAM,12/23/2020,355,2
Nepal,NPL,12/23/2020,743,5
Netherlands,NLD,12/23/2020,10473,105
New Zealand,NZL,12/23/2020,0,0
Nicaragua,NIC,12/23/2020,53,1
Niger,NER,12/23/2020,73,0
Nigeria,NGA,12/23/2020,1133,5
North America,,12/23/2020,254790,4487
North Macedonia,MKD,12/23/2020,625,14
Norway,NOR,12/23/2020,523,16
Oceania,,12/23/2020,25,0
Oman,OMN,12/23/2020,93,1
Pakistan,PAK,12/23/2020,2256,111
Palestine,PSE,12/23/2020,1870,28
Panama,PAN,12/23/2020,3059,32
Papua New Guinea,PNG,12/23/2020,0,0
Paraguay,PRY,12/23/2020,827,18
Peru,PER,12/23/2020,1678,45
Philippines,PHL,12/23/2020,1189,27
Poland,POL,12/23/2020,12358,472
Portugal,PRT,12/23/2020,4602,89
Qatar,QAT,12/23/2020,140,0
Romania,ROU,12/23/2020,5459,130
