Entity,Code,Day,Daily new confirmed cases of COVID-19,Daily new confirmed deaths due to COVID-19
Finland,FIN,2/1/2020,0,
France,FRA,2/1/2020,1,
Germany,DEU,2/1/2020,3,
High income,,2/1/2020,19,0
Hong Kong,HKG,2/1/2020,1,
India,IND,2/1/2020,0,
Italy,ITA,2/1/2020,0,
Japan,JPN,2/1/2020,5,
Lower middle income,,2/1/2020,4,0
Malaysia,MYS,2/1/2020,0,
Nepal,NPL,2/1/2020,0,
North America,,2/1/2020,0,0
Oceania,,2/1/2020,3,0
Philippines,PHL,2/1/2020,0,
Russia,RUS,2/1/2020,0,
Singapore,SGP,2/1/2020,3,
South Korea,KOR,2/1/2020,1,
Spain,ESP,2/1/2020,1,
Sri Lanka,LKA,2/1/2020,0,
Sweden,SWE,2/1/2020,1,
Taiwan,TWN,2/1/2020,0,
Thailand,THA,2/1/2020,0,
United Arab Emirates,ARE,2/1/2020,0,
United Kingdom,GBR,2/1/2020,0,
United States,USA,2/1/2020,0,
Upper middle income,,2/1/2020,2088,46
Vietnam,VNM,2/1/2020,4,
World,OWID_WRL,2/1/2020,2111,46
World excl. China,,2/1/2020,23,0
World excl. China and South Korea,,2/1/2020,22,0
"World excl. China, South Korea, Japan and Singapore",,2/1/2020,14,0
Asia,,2/2/2020,4747,103
Asia excl. China,,2/2/2020,10,1
Australia,AUS,2/2/2020,0,
Cambodia,KHM,2/2/2020,0,
Canada,CAN,2/2/2020,0,
China,CHN,2/2/2020,4737,102
Europe,,2/2/2020,2,0
European Union,,2/2/2020,2,0
Finland,FIN,2/2/2020,0,
France,FRA,2/2/2020,0,
Germany,DEU,2/2/2020,2,
High income,,2/2/2020,10,0
Hong Kong,HKG,2/2/2020,2,
India,IND,2/2/2020,1,
Italy,ITA,2/2/2020,0,
Japan,JPN,2/2/2020,0,
Lower middle income,,2/2/2020,2,1
Malaysia,MYS,2/2/2020,0,
Nepal,NPL,2/2/2020,0,
North America,,2/2/2020,0,0
Oceania,,2/2/2020,0,0
Philippines,PHL,2/2/2020,1,1
Russia,RUS,2/2/2020,0,
Singapore,SGP,2/2/2020,2,
South Korea,KOR,2/2/2020,3,
Spain,ESP,2/2/2020,0,
Sri Lanka,LKA,2/2/2020,0,
Sweden,SWE,2/2/2020,0,
Taiwan,TWN,2/2/2020,0,
Thailand,THA,2/2/2020,0,
United Arab Emirates,ARE,2/2/2020,1,
United Kingdom,GBR,2/2/2020,0,
United States,USA,2/2/2020,0,
Upper middle income,,2/2/2020,4737,102
Vietnam,VNM,2/2/2020,0,
World,OWID_WRL,2/2/2020,4749,103
World excl. China,,2/2/2020,12,1
World excl. China and South Korea,,2/2/2020,9,1
"World excl. China, South Korea, Japan and Singapore",,2/2/2020,7,1
Asia,,2/3/2020,3089,64
Asia excl. China,,2/3/2020,3,0
Australia,AUS,2/3/2020,0,
Cambodia,KHM,2/3/2020,0,
Canada,CAN,2/3/2020,0,
China,CHN,2/3/2020,3086,64
Europe,,2/3/2020,8,0
European Union,,2/3/2020,2,0
Finland,FIN,2/3/2020,0,
France,FRA,2/3/2020,0,
Germany,DEU,2/3/2020,2,
High income,,2/3/2020,11,0
Hong Kong,HKG,2/3/2020,0,
India,IND,2/3/2020,1,
Italy,ITA,2/3/2020,0,
Japan,JPN,2/3/2020,0,
Lower middle income,,2/3/2020,3,0
Malaysia,MYS,2/3/2020,0,
Nepal,NPL,2/3/2020,0,
North America,,2/3/2020,3,0
Oceania,,2/3/2020,0,0
Philippines,PHL,2/3/2020,0,0
Russia,RUS,2/3/2020,0,
Singapore,SGP,2/3/2020,0,
South Korea,KOR,2/3/2020,0,
Spain,ESP,2/3/2020,0,
Sri Lanka,LKA,2/3/2020,0,
Sweden,SWE,2/3/2020,0,
Taiwan,TWN,2/3/2020,0,
Thailand,THA,2/3/2020,0,
United Arab Emirates,ARE,2/3/2020,0,
United Kingdom,GBR,2/3/2020,6,
United States,USA,2/3/2020,3,
Upper middle income,,2/3/2020,3086,64
Vietnam,VNM,2/3/2020,2,
World,OWID_WRL,2/3/2020,3100,64
World excl. China,,2/3/2020,14,0
World excl. China and South Korea,,2/3/2020,14,0
"World excl. China, South Korea, Japan and Singapore",,2/3/2020,14,0
Asia,,2/4/2020,4009,66
Asia excl. China,,2/4/2020,20,1
Australia,AUS,2/4/2020,1,
Belgium,BEL,2/4/2020,1,
Cambodia,KHM,2/4/2020,0,
Canada,CAN,2/4/2020,0,
China,CHN,2/4/2020,3989,65
Europe,,2/4/2020,1,0
European Union,,2/4/2020,1,0
Finland,FIN,2/4/2020,0,
France,FRA,2/4/2020,0,
Germany,DEU,2/4/2020,0,
High income,,2/4/2020,14,1
Hong Kong,HKG,2/4/2020,2,1
India,IND,2/4/2020,0,
Italy,ITA,2/4/2020,0,
Japan,JPN,2/4/2020,2,
Lower middle income,,2/4/2020,0,0
Malaysia,MYS,2/4/2020,2,
Nepal,NPL,2/4/2020,0,
North America,,2/4/2020,0,0
Oceania,,2/4/2020,1,0
Philippines,PHL,2/4/2020,0,0
Russia,RUS,2/4/2020,0,
Singapore,SGP,2/4/2020,6,
South Korea,KOR,2/4/2020,1,
Spain,ESP,2/4/2020,0,
Sri Lanka,LKA,2/4/2020,0,
Sweden,SWE,2/4/2020,0,
Taiwan,TWN,2/4/2020,1,
Thailand,THA,2/4/2020,6,
United Arab Emirates,ARE,2/4/2020,0,
United Kingdom,GBR,2/4/2020,0,
United States,USA,2/4/2020,0,
Upper middle income,,2/4/2020,3997,65
Vietnam,VNM,2/4/2020,0,
World,OWID_WRL,2/4/2020,4011,66
World excl. China,,2/4/2020,22,1
World excl. China and South Korea,,2/4/2020,21,1
"World excl. China, South Korea, Japan and Singapore",,2/4/2020,13,1
Asia,,2/5/2020,3743,72
Asia excl. China,,2/5/2020,14,0
Australia,AUS,2/5/2020,0,
Belgium,BEL,2/5/2020,0,
Cambodia,KHM,2/5/2020,0,
Canada,CAN,2/5/2020,1,
China,CHN,2/5/2020,3729,72
Europe,,2/5/2020,1,0
European Union,,2/5/2020,0,0
Finland,FIN,2/5/2020,0,
France,FRA,2/5/2020,0,
Germany,DEU,2/5/2020,0,
High income,,2/5/2020,14,0
Hong Kong,HKG,2/5/2020,4,0
India,IND,2/5/2020,0,
Italy,ITA,2/5/2020,0,
Japan,JPN,2/5/2020,1,
Lower middle income,,2/5/2020,0,0
Malaysia,MYS,2/5/2020,2,
Nepal,NPL,2/5/2020,0,
North America,,2/5/2020,1,0
Oceania,,2/5/2020,0,0
Philippines,PHL,2/5/2020,0,0
Russia,RUS,2/5/2020,0,
Singapore,SGP,2/5/2020,4,
South Korea,KOR,2/5/2020,3,
Spain,ESP,2/5/2020,0,
Sri Lanka,LKA,2/5/2020,0,
Sweden,SWE,2/5/2020,0,
Taiwan,TWN,2/5/2020,0,
Thailand,THA,2/5/2020,0,
United Arab Emirates,ARE,2/5/2020,0,
United Kingdom,GBR,2/5/2020,1,
United States,USA,2/5/2020,0,
Upper middle income,,2/5/2020,3731,72
Vietnam,VNM,2/5/2020,0,
World,OWID_WRL,2/5/2020,3745,72
World excl. China,,2/5/2020,16,0
World excl. China and South Korea,,2/5/2020,13,0
"World excl. China, South Korea, Japan and Singapore",,2/5/2020,8,0
Asia,,2/6/2020,3158,70
Asia excl. China,,2/6/2020,14,0
Australia,AUS,2/6/2020,1,
Belgium,BEL,2/6/2020,0,
Cambodia,KHM,2/6/2020,0,
Canada,CAN,2/6/2020,0,
China,CHN,2/6/2020,3144,70
Europe,,2/6/2020,0,0
European Union,,2/6/2020,0,0
Finland,FIN,2/6/2020,0,
France,FRA,2/6/2020,0,
Germany,DEU,2/6/2020,0,
High income,,2/6/2020,14,0
Hong Kong,HKG,2/6/2020,3,0
India,IND,2/6/2020,0,
Italy,ITA,2/6/2020,0,
Japan,JPN,2/6/2020,0,
Lower middle income,,2/6/2020,2,0
Malaysia,MYS,2/6/2020,0,
Nepal,NPL,2/6/2020,0,
North America,,2/6/2020,1,0
Oceania,,2/6/2020,1,0
Philippines,PHL,2/6/2020,0,0
Russia,RUS,2/6/2020,0,
Singapore,SGP,2/6/2020,0,
South Korea,KOR,2/6/2020,4,
Spain,ESP,2/6/2020,0,
Sri Lanka,LKA,2/6/2020,0,
Sweden,SWE,2/6/2020,0,
Taiwan,TWN,2/6/2020,5,
Thailand,THA,2/6/2020,0,
United Arab Emirates,ARE,2/6/2020,0,
United Kingdom,GBR,2/6/2020,0,
United States,USA,2/6/2020,1,
Upper middle income,,2/6/2020,3144,70
Vietnam,VNM,2/6/2020,2,
World,OWID_WRL,2/6/2020,3160,70
World excl. China,,2/6/2020,16,0
World excl. China and South Korea,,2/6/2020,12,0
"World excl. China, South Korea, Japan and Singapore",,2/6/2020,12,0
Asia,,2/7/2020,3527,85
Asia excl. China,,2/7/2020,5,0
Australia,AUS,2/7/2020,1,
Belgium,BEL,2/7/2020,0,
Cambodia,KHM,2/7/2020,0,
Canada,CAN,2/7/2020,2,
China,CHN,2/7/2020,3522,85
Europe,,2/7/2020,2,0
European Union,,2/7/2020,2,0
Finland,FIN,2/7/2020,0,
France,FRA,2/7/2020,0,
Germany,DEU,2/7/2020,1,
High income,,2/7/2020,9,0
Hong Kong,HKG,2/7/2020,1,0
India,IND,2/7/2020,0,
International,,2/7/2020,61,
Italy,ITA,2/7/2020,1,
Japan,JPN,2/7/2020,0,
Lower middle income,,2/7/2020,1,0
Malaysia,MYS,2/7/2020,0,
Nepal,NPL,2/7/2020,0,
North America,,2/7/2020,2,0
Oceania,,2/7/2020,1,0
Philippines,PHL,2/7/2020,1,0
Russia,RUS,2/7/2020,0,
Singapore,SGP,2/7/2020,2,
South Korea,KOR,2/7/2020,1,
Spain,ESP,2/7/2020,0,
Sri Lanka,LKA,2/7/2020,0,
Sweden,SWE,2/7/2020,0,
Taiwan,TWN,2/7/2020,0,
Thailand,THA,2/7/2020,0,
United Arab Emirates,ARE,2/7/2020,0,
United Kingdom,GBR,2/7/2020,0,
United States,USA,2/7/2020,0,
Upper middle income,,2/7/2020,3522,85
Vietnam,VNM,2/7/2020,0,
World,OWID_WRL,2/7/2020,3593,85
World excl. China,,2/7/2020,71,0
World excl. China and South Korea,,2/7/2020,70,0
"World excl. China, South Korea, Japan and Singapore",,2/7/2020,68,0
Asia,,2/8/2020,2725,87
Asia excl. China,,2/8/2020,22,0
Australia,AUS,2/8/2020,0,
Belgium,BEL,2/8/2020,0,
Cambodia,KHM,2/8/2020,0,
Canada,CAN,2/8/2020,0,
China,CHN,2/8/2020,2703,87
Europe,,2/8/2020,9,0
European Union,,2/8/2020,5,0
Finland,FIN,2/8/2020,0,
France,FRA,2/8/2020,5,
Germany,DEU,2/8/2020,0,
High income,,2/8/2020,17,0
Hong Kong,HKG,2/8/2020,1,0
India,IND,2/8/2020,0,
International,,2/8/2020,0,
Italy,ITA,2/8/2020,0,
Japan,JPN,2/8/2020,1,
Lower middle income,,2/8/2020,3,0
Malaysia,MYS,2/8/2020,4,
Nepal,NPL,2/8/2020,0,
North America,,2/8/2020,0,0
Oceania,,2/8/2020,0,0
Philippines,PHL,2/8/2020,0,0
Russia,RUS,2/8/2020,0,
Singapore,SGP,2/8/2020,3,
South Korea,KOR,2/8/2020,0,
Spain,ESP,2/8/2020,0,
Sri Lanka,LKA,2/8/2020,0,
Sweden,SWE,2/8/2020,0,
Taiwan,TWN,2/8/2020,1,
Thailand,THA,2/8/2020,7,
United Arab Emirates,ARE,2/8/2020,2,
United Kingdom,GBR,2/8/2020,4,
United States,USA,2/8/2020,0,
Upper middle income,,2/8/2020,2714,87
Vietnam,VNM,2/8/2020,3,
World,OWID_WRL,2/8/2020,2734,87
World excl. China,,2/8/2020,31,0
World excl. China and South Korea,,2/8/2020,31,0
"World excl. China, South Korea, Japan and Singapore",,2/8/2020,27,0
Asia,,2/9/2020,3024,100
Asia excl. China,,2/9/2020,12,0
Australia,AUS,2/9/2020,0,
Belgium,BEL,2/9/2020,0,
Cambodia,KHM,2/9/2020,0,
Canada,CAN,2/9/2020,0,
China,CHN,2/9/2020,3012,100
Europe,,2/9/2020,3,0
European Union,,2/9/2020,2,0
Finland,FIN,2/9/2020,0,
France,FRA,2/9/2020,0,
Germany,DEU,2/9/2020,1,
High income,,2/9/2020,15,0
Hong Kong,HKG,2/9/2020,3,0
India,IND,2/9/2020,0,
International,,2/9/2020,3,
Italy,ITA,2/9/2020,0,
Japan,JPN,2/9/2020,0,
Lower middle income,,2/9/2020,0,0
Malaysia,MYS,2/9/2020,0,
Nepal,NPL,2/9/2020,0,
North America,,2/9/2020,0,0
Oceania,,2/9/2020,0,0
Philippines,PHL,2/9/2020,0,0
Russia,RUS,2/9/2020,0,
Singapore,SGP,2/9/2020,7,
South Korea,KOR,2/9/2020,1,
Spain,ESP,2/9/2020,1,
Sri Lanka,LKA,2/9/2020,0,
Sweden,SWE,2/9/2020,0,
Taiwan,TWN,2/9/2020,1,
Thailand,THA,2/9/2020,0,
United Arab Emirates,ARE,2/9/2020,0,
United Kingdom,GBR,2/9/2020,1,
United States,USA,2/9/2020,0,
Upper middle income,,2/9/2020,3012,100
Vietnam,VNM,2/9/2020,0,
World,OWID_WRL,2/9/2020,3030,100
World excl. China,,2/9/2020,18,0
World excl. China and South Korea,,2/9/2020,17,0
"World excl. China, South Korea, Japan and Singapore",,2/9/2020,10,0
Asia,,2/10/2020,2538,107
Asia excl. China,,2/10/2020,22,0
Australia,AUS,2/10/2020,0,
Belgium,BEL,2/10/2020,0,
Cambodia,KHM,2/10/2020,0,
Canada,CAN,2/10/2020,0,
China,CHN,2/10/2020,2516,107
Europe,,2/10/2020,0,0
European Union,,2/10/2020,0,0
